symbol,moneyness_bucket,tenor_bucket,c_j,phi_j,se_phi,t_stat_phi,p_value_phi,r2,n_obs,underlying,index
MO2406-P-5000.CFE,ATM,LT,-0.26892489810225106,2.2129187007991944,0.41884336070191464,5.283404032215518,0.00014805107518449864,0.6822631324989289,15.0,CSI 1000,000852.SH
MO2406-P-5000.CFE,ATM,MT,0.18426219980665737,0.12203905448632152,0.27727044532760664,0.4401444746198148,0.6691934614577567,0.019004546180744653,12.0,CSI 1000,000852.SH
MO2406-P-5000.CFE,PW,MT,0.23110368600490958,0.3993649558775213,0.25066813923786974,1.5932019006952727,0.13067590032927673,0.13692158133005672,18.0,CSI 1000,000852.SH
MO2406-P-5000.CFE,PW,ST,0.6944715308983436,0.17533344919477875,0.2919950701862533,0.6004671554315617,0.560362761145813,0.031737940665856224,13.0,CSI 1000,000852.SH
MO2406-P-5100.CFE,ATM,MT,0.2874385696279993,0.4343258636797278,0.35008879511366586,1.2406162943281636,0.2315970154794515,0.0830205565324782,19.0,CSI 1000,000852.SH
MO2406-P-5100.CFE,ATM,ST,0.9725211161881793,0.15014400354335505,0.3133879497463674,0.4790994793031139,0.6412504626116078,0.020440408642898866,13.0,CSI 1000,000852.SH
MO2406-P-5100.CFE,PW,MT,0.1885758893364103,0.4902721776097087,0.19481823917931587,2.5165619999185456,0.0329540234440697,0.413033945144865,11.0,CSI 1000,000852.SH
MO2406-P-5200.CFE,ATM,LT,0.25135057802912947,0.7422199134416414,0.1703828399067719,4.356189354795124,0.0004898689780246915,0.5425485028784759,18.0,CSI 1000,000852.SH
MO2406-P-5200.CFE,ATM,MT,0.2633099408408506,0.6048979550507918,0.2266396832558483,2.6689851766512422,0.014019392917243318,0.2445958180482234,24.0,CSI 1000,000852.SH
MO2406-P-5200.CFE,ATM,ST,1.472684115793811,0.04470016561642755,0.2821377079363813,0.15843385821546016,0.8765496234525398,0.00192714719641085,15.0,CSI 1000,000852.SH
MO2406-P-5300.CFE,ATM,MT,0.3513825378731225,0.5216535916703752,0.16432682708455598,3.174488310432436,0.003837636806291313,0.279326745488204,28.0,CSI 1000,000852.SH
MO2406-P-5300.CFE,ATM,ST,0.7944285095788196,0.4630130511126483,0.28831080603194664,1.605951082740005,0.12912690574042754,0.1467129704426945,17.0,CSI 1000,000852.SH
MO2406-P-5400.CFE,ATM,LT,0.37695768579014743,0.6997643845625272,0.17187276621004485,4.071409333735565,0.0011443112972890552,0.5421301421476776,16.0,CSI 1000,000852.SH
MO2406-P-5400.CFE,ATM,MT,0.6114265136319811,0.33309711227895145,0.1875212291056219,1.776316814195653,0.08951414034643364,0.1254328608972406,24.0,CSI 1000,000852.SH
MO2406-P-5400.CFE,ATM,ST,0.5667247930032788,0.6371153418732151,0.233225082628932,2.7317616728509617,0.016215130299992494,0.34770013951962797,16.0,CSI 1000,000852.SH
MO2406-P-5500.CFE,ATM,MT,1.0233520040117687,-0.03368766937552728,0.2382156772050246,-0.1414166765629509,0.8892030843563107,0.0011750104562484598,19.0,CSI 1000,000852.SH
MO2406-P-5500.CFE,ATM,ST,1.8162805433862035,-0.1456865231823437,0.37593740535484393,-0.38752867128194257,0.7051507551963707,0.012360186430444786,14.0,CSI 1000,000852.SH
MO2406-P-5500.CFE,CW,MT,0.4273824400211199,0.22475076307844416,0.2975993990850832,0.7552124223684614,0.4694231371370094,0.05959510916803401,11.0,CSI 1000,000852.SH
MO2406-P-5600.CFE,ATM,MT,1.1769960348270276,-0.26161823721381566,0.30902157335802505,-0.8466018549155174,0.4191581693582396,0.07376291756646824,11.0,CSI 1000,000852.SH
MO2406-P-5600.CFE,CW,LT,0.15901432324055442,0.6251752966412836,0.19323606305747015,3.235293074954393,0.005985279198432593,0.42780354749135163,16.0,CSI 1000,000852.SH
MO2406-P-5600.CFE,CW,MT,0.7245351762184539,0.11762372350237317,0.26911359286341113,0.43707834394702316,0.6682814333343162,0.012575670293404007,17.0,CSI 1000,000852.SH
MO2406-P-5600.CFE,CW,ST,-0.05202412381785959,0.8216898091984667,0.1518593484737871,5.410860888424667,0.00029681978619064414,0.7454007637981874,12.0,CSI 1000,000852.SH
MO2406-P-5700.CFE,CW,MT,0.5582391550001822,0.15137715447823125,0.22265300648306255,0.6798792294311403,0.5043751095768214,0.022589699966516386,22.0,CSI 1000,000852.SH
MO2406-P-5700.CFE,CW,ST,-0.027452708980272585,0.6046604100714488,0.23923400093717856,2.5274852558697503,0.028098849882968943,0.36738641348515866,13.0,CSI 1000,000852.SH
MO2406-P-5800.CFE,CW,LT,0.14715037251984736,0.6319339754756667,0.21072518481846378,2.998853582783981,0.008499801428228024,0.35982389551684113,18.0,CSI 1000,000852.SH
MO2406-P-5800.CFE,CW,MT,0.7039267113102394,0.03680533694004942,0.21364336177986287,0.17227465732342045,0.8647965793224,0.0013472079258153302,24.0,CSI 1000,000852.SH
MO2406-P-5800.CFE,CW,ST,-0.0343167582645169,0.7346004722447056,0.21006453657468496,3.4970227922480888,0.002761814534902545,0.41838920075217834,19.0,CSI 1000,000852.SH
MO2406-P-5900.CFE,CW,MT,0.09023755756709063,0.2742760929217142,0.19294018826760184,1.4215602015548054,0.16801924160697512,0.07766213230236163,26.0,CSI 1000,000852.SH
MO2406-P-5900.CFE,CW,ST,-0.09195985405911303,0.834775706732669,0.17821158248383848,4.6841832337602,0.00012674779238100459,0.510963415067781,23.0,CSI 1000,000852.SH
MO2406-P-6000.CFE,CW,LT,-0.08352867194940344,0.7724870563254274,0.17899779834216542,4.315623228218541,0.0007117122597853541,0.5708760153762222,16.0,CSI 1000,000852.SH
MO2406-P-6000.CFE,CW,MT,0.13685413617067071,0.3204341606534387,0.1913019891510808,1.6750174008926575,0.10949683927268748,0.1230256185359857,22.0,CSI 1000,000852.SH
MO2406-P-6000.CFE,CW,ST,-0.13567966327672704,0.8512765876194097,0.22824660625385765,3.7296352466796954,0.0014204480270693703,0.42267102352448704,21.0,CSI 1000,000852.SH
MO2406-P-6000.CFE,DCW,LT,0.012932862221219657,-0.2560653329907452,0.27769862094387754,-0.9220979640460497,0.38344358288958996,0.09607222929643067,10.0,CSI 1000,000852.SH
MO2406-P-6100.CFE,CW,MT,-0.3954761706704024,0.3748279332651024,0.31311836168922785,1.197080654238737,0.25115257977455474,0.09285310039746464,16.0,CSI 1000,000852.SH
MO2406-P-6100.CFE,CW,ST,-0.6159124059624278,0.7496085455631243,0.17075591832275283,4.389941812419398,0.0005274277553308505,0.562319682666546,17.0,CSI 1000,000852.SH
MO2406-P-6100.CFE,DCW,MT,-0.5194116929509061,0.05717628914314801,0.21734566439459577,0.2630661591636041,0.7978402698699064,0.006872817895386629,12.0,CSI 1000,000852.SH
MO2406-P-6200.CFE,CW,MT,-0.8964379063530292,0.20254002630905382,0.29960810927415255,0.6760165030236954,0.5143598338585489,0.04370262848949735,12.0,CSI 1000,000852.SH
MO2406-P-6200.CFE,CW,ST,-1.214553823315812,0.2780989188380286,0.4135152574219916,0.6725239609580577,0.5181421824186752,0.047849627009629137,11.0,CSI 1000,000852.SH
MO2406-P-6200.CFE,DCW,LT,-0.1828730470271747,0.7396171650592257,0.1339278492297342,5.5225046120954095,2.0935555114875804e-05,0.6039451592265028,22.0,CSI 1000,000852.SH
MO2406-P-6200.CFE,DCW,MT,-1.0082713058756703,0.20701182578048172,0.23994796623386247,0.8627363216686741,0.40102955327257983,0.04445174418445397,18.0,CSI 1000,000852.SH
MO2406-P-6200.CFE,DCW,ST,-0.013742762508493156,0.8497118002879892,0.278964209723916,3.0459527447228014,0.012336613961174688,0.4812693662298281,12.0,CSI 1000,000852.SH
