target_datetime,ths_underlying_code_option,ths_maturity_date_option,z0,z1,z2,z3,z4,z5,fit_status,fit_error,n_observations,n_unique_strikes,x_min,x_max,condition_number,fit_rmse,used_pinv
2023-01-04 11:20:00,000300.SH,20230120,-0.0009747793339166736,1.0,0.05064974992156693,-7.52324965825498e-05,0.010312872538179932,-1.4827901980779966e-05,success,,26,26,-0.21407308252459295,0.1201290055620808,760327456.121181,0.00014236602433628337,False
2023-01-04 13:10:00,000300.SH,20230120,-0.0006187139340436126,1.0,0.03419466133438845,-5.221970242862413e-05,0.00437629535733028,-6.569610589448978e-06,success,,26,26,-0.2116976806793244,0.12250440740734923,716173482.5352975,0.000335068956493582,False
2023-01-04 13:50:00,000300.SH,20230120,-0.0005851160123376833,1.0,0.03439000466382407,-4.759683182804641e-05,0.004462960260597454,-6.785234188167504e-06,success,,26,26,-0.21044167576679412,0.12376041231987944,729771975.2581989,0.0003276816573248571,False
2023-01-04 14:30:00,000300.SH,20230120,-0.0008374015270825334,1.0,0.038816659881053296,-4.6120188926039566e-05,0.007563109760737415,-1.0130569393276158e-05,success,,26,26,-0.21229517315279892,0.12190691493387483,710626196.0383077,0.00015991615145097008,False
2023-01-04 10:00:00,000300.SH,20230217,-7.688423242974965e-05,1.0,0.003220716968357762,-9.080483124292909e-06,-0.0061934121736283935,9.559506535496884e-06,success,,22,22,-0.15265907239507495,0.11998512269216542,3350470280.8749037,0.00010584906946165334,False
2023-01-04 10:40:00,000300.SH,20230217,-0.00019540377458795454,1.0,0.009182693344543537,-2.7029647685274687e-05,-0.004413523884938905,3.614796064034295e-06,success,,22,22,-0.15475207175775132,0.11789212332948905,2247769559.107292,6.39162120236724e-05,False
2023-01-04 11:20:00,000300.SH,20230217,-0.0001385939438393701,1.0,0.012326577180673117,-4.086445814984005e-05,-0.005455836604599327,7.212891746126453e-06,success,,22,22,-0.1548651647609392,0.11777903032630115,2165559955.192985,0.0001260824273966685,False
2023-01-04 13:10:00,000300.SH,20230217,-0.00017447030669155608,1.0,0.010675210174003484,-3.352894987709521e-05,-0.004980052175062463,5.597452895724551e-06,success,,22,22,-0.15243041127121706,0.12021378381602323,2030450205.8936343,8.826879836337963e-05,False
2023-01-04 13:50:00,000300.SH,20230217,-0.00010232437230874521,1.0,0.005311142705632193,-1.577086395116509e-05,-0.005525875855027888,7.386403751002659e-06,success,,22,22,-0.15122252357432547,0.12142167151291494,3190520218.5983562,7.053304025164789e-05,False
2023-01-04 14:30:00,000300.SH,20230217,-6.630428842301818e-05,1.0,0.005465911567653255,-1.7153312115079123e-05,-0.00616552196041484,9.55630422404699e-06,success,,22,22,-0.15326356558388113,0.11938062950335938,3275144187.857925,0.0001689120593724328,False
2023-01-04 10:00:00,000300.SH,20230317,-0.00345005026015461,1.0,-0.02009108485091343,0.00017509770255361154,0.008744427351594938,-8.48006858231203e-05,success,,29,29,-0.2328482093308353,0.24518759161216463,24448503.007703226,0.00026275123209532205,False
2023-01-04 10:40:00,000300.SH,20230317,-0.004079873550860461,1.0,-0.0142300624965057,0.00010489198353024813,0.0131012028328908,-0.00010637490424998878,success,,30,30,-0.2350970185781135,0.2429387823648862,23284457.83460529,0.00027488484683924226,False
