group,total_groups,fit_success_count,fit_success_rate,valid_margin_count,margin_pass_count,margin_fail_count,margin_zero_count,margin_pass_rate,margin_fail_rate,margin_min,margin_p01,margin_p05,margin_median,margin_mean,margin_p95,margin_max,near_zero_abs_1e-10_count,near_zero_abs_1e-10_rate,rmse_mean,rmse_median,condition_median,condition_p95,high_condition_count,pinv_count
20240920,1370,1370,1.0,1370,1195,175,0,0.8722627737226277,0.12773722627737227,-0.00025444345639298957,-0.00010193214908687473,-5.020568873207976e-05,-2.3267560619190207e-06,-1.1290050031584882e-05,3.750723274737913e-08,3.132685678159819e-07,1,0.00072992700729927,0.00039460287782904646,0.00028686216946954997,88690802.51349542,704427671.1413938,0,0
20241018,885,885,1.0,885,852,33,0,0.9627118644067797,0.03728813559322034,-0.2409785515636942,-0.0005409259363182159,-7.856212613810937e-06,-3.884355909555771e-07,-0.0002937516311971209,-7.619489523853596e-10,0.010745406944036029,5,0.005649717514124294,0.00024031333973444248,6.318389337692491e-05,881186232.749684,3949889079.985895,0,0
20241115,864,863,0.9988425925925926,863,824,39,0,0.9548088064889919,0.04519119351100811,-0.004834683297784367,-0.0010178708610930661,-0.00018531359847384082,-9.78173310069421e-07,-5.772992542610222e-05,-3.588198890918093e-10,1.717446988632959e-05,1,0.0011587485515643105,0.0004069214992520737,0.0001120741233521,512194836.219666,4533063198.222684,0,0
20241220,1370,1369,0.9992700729927008,1369,1257,112,0,0.9181884587289992,0.08181154127100074,-0.008188896385825081,-0.0020571939654887355,-0.00048315687482830403,-1.0611794068653138e-05,-0.00010867270552925597,6.623979231107038e-08,2.1843200491835062e-05,0,0.0,0.0007266722419552002,0.0004001996152555,22370398.197204474,220818855.3038216,0,0
20250117,1004,1004,1.0,1004,951,53,0,0.9472111553784861,0.052788844621513946,-0.0010948930931540242,-0.00015181717984398687,-5.637918862920817e-05,-2.2806882326624028e-06,-1.4393647338854198e-05,3.214482612803552e-10,3.3619897870721e-07,1,0.00099601593625498,0.00023846871476610758,9.239521187368086e-05,299915904.45376486,1259236712.8052464,0,0
20250221,982,982,1.0,982,947,35,0,0.9643584521384929,0.035641547861507125,-6.034322471091555e-05,-2.1820470294030205e-05,-7.956612829638215e-06,-4.2968233235119236e-07,-1.8546324392722271e-06,-2.2288432849141146e-09,3.82953847074141e-08,6,0.006109979633401222,0.0001275784374169008,7.277561767601432e-05,425379092.2342605,2373777576.4344034,0,0
20250321,1371,1371,1.0,1371,1279,92,0,0.9328956965718453,0.06710430342815463,-0.00498063845028381,-0.002196047224835178,-0.0006389072142704679,-2.943127171982662e-05,-0.00014993970602695118,1.0771405269124544e-07,3.4978153843879996e-06,0,0.0,0.0007317398014055822,0.0005016937150298,12481533.336928016,122784742.07164626,0,0
20250418,857,856,0.9988331388564761,856,826,30,0,0.9649532710280374,0.035046728971962614,-0.00018651191402632765,-2.8376353932999598e-05,-1.150864993428454e-05,-4.394185914860234e-07,-1.8959785616902973e-06,-2.0039099043756873e-09,0.0005387323842531973,0,0.0,0.0001536481357021914,7.379095083809857e-05,632445642.1979071,3266275811.4846077,0,0
20250516,829,829,1.0,829,809,20,0,0.9758745476477684,0.024125452352231604,-0.0009519269342105095,-0.000620622449623091,-0.00015879818865203804,-1.6070301734583057e-06,-2.7618236955982233e-05,-1.1117253688325812e-08,2.6406701807095605e-08,2,0.0024125452352231603,8.816633261453289e-05,5.819702041193043e-05,645543767.384863,2868303226.9997215,0,0
20250620,1296,1295,0.9992283950617284,1295,1240,55,0,0.9575289575289575,0.04247104247104247,-0.010185721004025209,-0.0037294006265595776,-0.001205868078094898,-5.442415962402596e-05,-0.00029772068784007295,-5.1093372803397726e-08,1.9963343633602966e-06,0,0.0,0.0006392357254869741,0.0004268617483422,10522166.605919862,76849986.65541139,0,0
